p1	p2	n	r	p.value
protein153	protein257	4	-0.23230204217701	0.937
protein154	protein257	4	0.587786626236758	0.549
protein155	protein257	4	0.347016591079495	0.702
protein156	protein257	4	0.347016591081627	0.702
protein157	protein257	4	0.406109239801762	0.676
protein158	protein257	4	0.347016591113436	0.702
protein159	protein257	4	0.346989357348153	0.702
protein15	protein257	4	0.347016591134557	0.702
protein160	protein257	4	0.347016591102502	0.702
protein161	protein257	4	-0.488053764621322	0.983
protein162	protein257	4	0.347016591129054	0.702
protein163	protein257	4	0.34701659111612	0.702
protein164	protein257	4	0.347016591116744	0.702
protein165	protein257	4	0.347016591116977	0.702
protein166	protein257	4	0.347016591115298	0.702
protein167	protein257	4	0.347016591077114	0.702
protein168	protein257	4	0.347016591110856	0.702
protein169	protein257	4	0.347016591093131	0.702
protein16	protein257	4	0.347016591120729	0.702
protein170	protein257	4	0.7737690848051	0.428
protein171	protein257	4	0.49240588882726	0.633
protein172	protein257	4	0.347016591112725	0.702
protein173	protein257	4	0.347016591102372	0.702
protein174	protein257	4	0.393956133094067	0.679
protein175	protein257	4	0.347016591045101	0.702
protein176	protein257	4	0.347016591045097	0.702
protein177	protein257	4	0.283362069273173	0.725
protein178	protein257	4	0.346987933056275	0.702
protein179	protein257	4	0.347016590953776	0.702
protein17	protein257	4	0.3470165911254	0.702
protein181	protein257	4	0.297750630224381	0.722
protein182	protein257	4	0.508481147247336	0.627
protein183	protein257	4	0.860076316635395	0.355
protein184	protein257	4	0.347016591035514	0.702
protein185	protein257	4	0.347016590961314	0.702
protein186	protein257	4	0.77639738099678	0.427
protein187	protein257	4	-0.0415153100135014	0.878
protein188	protein257	4	0.115439646027613	0.785
protein189	protein257	4	0.347016591126187	0.702
protein18	protein257	4	0.347016591084303	0.702
protein191	protein257	4	0.867663684885675	0.349
protein192	protein257	4	0.983708050367214	0.073
protein193	protein257	4	-0.54050774139312	0.989
protein196	protein257	4	0.342966306519201	0.704
protein197	protein257	4	0.346875474152193	0.702
protein198	protein257	4	0.783918786719176	0.418
protein199	protein257	4	0.783962310472487	0.418
protein19	protein257	4	0.347016591125326	0.702
protein1	protein257	4	0.406109239801762	0.676
protein200	protein257	4	0.778217698946957	0.426
protein201	protein257	4	0.928676625640633	0.25
protein202	protein257	4	0.926134418573056	0.251
protein203	protein257	4	-0.516528001257559	0.985
protein204	protein257	4	0.974665215635307	0.122
protein205	protein257	4	0.347016591107655	0.702
protein206	protein257	4	0.968921975144009	0.134
protein207	protein257	4	0.347016591107269	0.702
protein208	protein257	4	0.347016591114352	0.702
protein209	protein257	4	0.347016591121576	0.702
protein20	protein257	4	0.342961544323459	0.704
protein210	protein257	4	0.347016591110962	0.702
protein211	protein257	4	0.347016591122145	0.702
protein212	protein257	4	0.347016591122274	0.702
protein213	protein257	4	0.347016591110648	0.702
protein214	protein257	4	-0.436606352518114	0.973
protein215	protein257	4	0.347016591120673	0.702
protein216	protein257	4	0.347016591120468	0.702
protein217	protein257	4	0.347016591079923	0.702
protein218	protein257	4	-0.191040216912259	0.929
protein219	protein257	4	0.347016591141329	0.702
protein21	protein257	4	0.348486424894024	0.701
protein220	protein257	4	0.347010033331827	0.702
protein221	protein257	4	0.347016591126468	0.702
protein222	protein257	4	0.347016591140188	0.702
protein225	protein257	4	0.347016591076382	0.702
protein226	protein257	4	0.31762846924105	0.713
protein227	protein257	4	0.347016591139591	0.702
protein228	protein257	4	0.34701659113921	0.702
protein229	protein257	4	0.347016591096642	0.702
protein22	protein257	4	-0.269467493852709	0.944
protein230	protein257	4	0.347016591086092	0.702
protein231	protein257	4	0.347016591100497	0.702
protein232	protein257	4	0.347016591111564	0.702
protein233	protein257	4	0.347016591111424	0.702
protein234	protein257	4	0.347016591100532	0.702
protein235	protein257	4	0.34701659110048	0.702
protein236	protein257	4	0.347016591100448	0.702
protein237	protein257	4	0.347016591100639	0.702
protein238	protein257	4	0.347016591111408	0.702
protein239	protein257	4	0.48870022537438	0.634
protein23	protein257	4	0.768545347786402	0.432
protein240	protein257	4	0.347016591100521	0.702
protein241	protein257	4	0.547049210804056	0.569
protein242	protein257	4	-0.0846405813557386	0.894
protein243	protein257	4	-0.0740196921754897	0.887
protein244	protein257	4	0.347016591115286	0.702
protein245	protein257	4	0.34701659095857	0.702
protein246	protein257	4	0.3470165909325	0.702
protein247	protein257	4	0.347016590980809	0.702
protein248	protein257	4	0.347016590994905	0.702
protein249	protein257	4	0.347016591004714	0.702
protein24	protein257	4	0.952169234979327	0.223
protein250	protein257	4	0.605026166785019	0.542
protein251	protein257	4	0.347016591097474	0.702
protein252	protein257	4	0.347016591117692	0.702
protein100	protein258	4	-0.279530822871514	0.946
protein101	protein258	4	0.591076512685916	0.548
protein102	protein258	4	0.591076512687651	0.548
protein103	protein258	4	0.108883041981813	0.789
protein105	protein258	4	0.800057454500663	0.409
protein106	protein258	4	0.553015348080723	0.568
protein107	protein258	4	0.873418520140332	0.345
protein108	protein258	4	0.546897143012269	0.569
protein109	protein258	4	0.735227931148424	0.481
protein10	protein258	4	0.587582176520735	0.549
protein110	protein258	4	0.5910765122507	0.548
protein111	protein258	4	0.59107651261819	0.548
protein112	protein258	4	0.591076512615949	0.548
protein113	protein258	4	-0.523844667624415	0.986
protein114	protein258	4	-0.523906999773712	0.986
protein115	protein258	4	0.591076512496704	0.548
protein116	protein258	4	0.591076512408751	0.548
protein117	protein258	4	0.591076512580868	0.548
protein11	protein258	4	0.591076512636824	0.548
protein121	protein258	4	0.591076512671295	0.548
protein122	protein258	4	0.591076512677218	0.548
protein123	protein258	4	0.608186143332389	0.541
protein124	protein258	4	0.591076512467559	0.548
protein125	protein258	4	0.591076512688929	0.548
protein126	protein258	4	-0.69138701033064	0.994
protein127	protein258	4	0.591076512686883	0.548
protein128	protein258	4	0.25453452730236	0.734
protein129	protein258	4	0.249721145286015	0.734
protein12	protein258	4	0.591076512635631	0.548
protein130	protein258	4	0.224835519412653	0.747
protein131	protein258	4	0.591076512643394	0.548
protein132	protein258	4	0.591076512587396	0.548
protein135	protein258	4	0.591076512648742	0.548
protein136	protein258	4	0.591076512687681	0.548
protein137	protein258	4	0.591076512605606	0.548
protein138	protein258	4	0.591076512593954	0.548
protein139	protein258	4	0.591076512606878	0.548
protein13	protein258	4	0.591076512654163	0.548
protein140	protein258	4	0.591076512618544	0.548
protein141	protein258	4	0.591076512606998	0.548
protein142	protein258	4	0.591076512593232	0.548
protein143	protein258	4	0.591076512608243	0.548
protein144	protein258	4	0.591076509551962	0.548
protein145	protein258	4	0.725052962583629	0.487
protein146	protein258	4	0.591076512588066	0.548
protein149	protein258	4	0.591076512595638	0.548
protein14	protein258	4	0.591076512549828	0.548
protein150	protein258	4	0.591076512631616	0.548
protein151	protein258	4	0.591076512622575	0.548
protein152	protein258	4	-0.0826433508122002	0.894
protein153	protein258	4	-0.240418821578257	0.937
protein154	protein258	4	0.787242825900956	0.415
protein155	protein258	4	0.591076512564983	0.548
protein156	protein258	4	0.591076512568833	0.548
protein157	protein258	4	0.34928307261206	0.7
protein158	protein258	4	0.591076512627955	0.548
protein159	protein258	4	0.591030704673841	0.548
protein15	protein258	4	0.591076512670211	0.548
protein160	protein258	4	0.591076512607112	0.548
protein161	protein258	4	-0.454075593371753	0.974
protein162	protein258	4	0.591076512658731	0.548
protein163	protein258	4	0.591076512633139	0.548
protein164	protein258	4	0.591076512634351	0.548
protein165	protein258	4	0.591076512634801	0.548
protein166	protein258	4	0.591076512631549	0.548
protein167	protein258	4	0.591076512560692	0.548
protein168	protein258	4	0.591076512622999	0.548
protein169	protein258	4	0.591076512589755	0.548
protein16	protein258	4	0.591076512642122	0.548
protein170	protein258	4	0.834219589281683	0.382
protein171	protein258	4	0.7110222586629	0.493
protein172	protein258	4	0.591076512626588	0.548
protein173	protein258	4	0.59107651260687	0.548
protein174	protein258	4	0.631073664249116	0.529
protein175	protein258	4	0.591076512503534	0.548
protein176	protein258	4	0.591076512503528	0.548
protein177	protein258	4	0.533852002143917	0.581
protein178	protein258	4	0.591027711722003	0.548
protein179	protein258	4	0.591076512342842	0.548
protein17	protein258	4	0.591076512651363	0.548
protein181	protein258	4	0.542057098689699	0.572
protein182	protein258	4	0.72414623719863	0.49
protein183	protein258	4	0.738395911977557	0.481
protein184	protein258	4	0.591076512486546	0.548
protein185	protein258	4	0.591076512356037	0.548
protein186	protein258	4	0.658283742515399	0.516
protein187	protein258	4	-0.239121218586465	0.937
protein188	protein258	4	-0.00756712082972399	0.865
protein189	protein258	4	0.591076512652938	0.548
protein18	protein258	4	0.591076512573674	0.548
protein191	protein258	4	0.804724815743609	0.407
protein192	protein258	4	0.928931840116426	0.25
protein193	protein258	4	-0.542661703326511	0.989
protein196	protein258	4	0.587582176520735	0.549
protein197	protein258	4	0.590836174819648	0.548
protein198	protein258	4	0.822271749652204	0.392
protein199	protein258	4	0.827148128240449	0.387
protein19	protein258	4	0.591076512651216	0.548
protein1	protein258	4	0.34928307261206	0.7
protein200	protein258	4	0.824085883012027	0.389
protein201	protein258	4	0.825534858666646	0.387
protein202	protein258	4	0.830309345555657	0.386
protein203	protein258	4	-0.489170467282856	0.983
protein204	protein258	4	0.90144302058649	0.274
protein205	protein258	4	0.591076512616883	0.548
protein206	protein258	4	0.954366589933406	0.223
protein207	protein258	4	0.591076512616148	0.548
protein208	protein258	4	0.591076512629721	0.548
protein209	protein258	4	0.591076512643786	0.548
protein20	protein258	4	0.587578055304205	0.549
protein210	protein258	4	0.591076512623202	0.548
protein211	protein258	4	0.591076512644906	0.548
protein212	protein258	4	0.59107651264516	0.548
protein213	protein258	4	0.5910765126226	0.548
protein214	protein258	4	-0.362623159750481	0.964
protein215	protein258	4	0.591076512642013	0.548
protein216	protein258	4	0.591076512641609	0.548
protein217	protein258	4	0.591076512565755	0.548
protein218	protein258	4	-0.43206794729364	0.973
protein219	protein258	4	0.591076512688817	0.548
protein21	protein258	4	0.592340299051526	0.547
protein220	protein258	4	0.59106533968441	0.548
protein221	protein258	4	0.591076512653501	0.548
protein222	protein258	4	0.59107651268866	0.548
protein225	protein258	4	0.591076512559375	0.548
protein226	protein258	4	0.565251003010534	0.559
protein227	protein258	4	0.591076512681751	0.548
protein228	protein258	4	0.59107651268079	0.548
protein229	protein258	4	0.59107651259621	0.548
protein22	protein258	4	-0.103541889258737	0.902
protein230	protein258	4	0.59107651257692	0.548
protein231	protein258	4	0.591076512603361	0.548
protein232	protein258	4	0.591076512624356	0.548
protein233	protein258	4	0.591076512624089	0.548
protein234	protein258	4	0.591076512603426	0.548
protein235	protein258	4	0.591076512603328	0.548
protein236	protein258	4	0.591076512603269	0.548
protein237	protein258	4	0.591076512603626	0.548
protein238	protein258	4	0.591076512624057	0.548
protein239	protein258	4	0.708603461902251	0.493
protein23	protein258	4	0.563453207460012	0.561
protein240	protein258	4	0.591076512603406	0.548
protein241	protein258	4	0.700878893200928	0.5
protein242	protein258	4	0.111360568063378	0.788
protein243	protein258	4	0.123131412639594	0.781
protein244	protein258	4	0.591076512655633	0.548
protein245	protein258	4	0.591076512351233	0.548
protein246	protein258	4	0.591076512305642	0.548
protein247	protein258	4	0.591076512390203	0.548
protein248	protein258	4	0.591076512414954	0.548
protein249	protein258	4	0.591076512432203	0.548
protein24	protein258	4	0.859699233304352	0.357
protein250	protein258	4	0.526530553589005	0.589
protein251	protein258	4	0.591076512597747	0.548
protein252	protein258	4	0.591076512636191	0.548
protein257	protein258	4	0.961604949781535	0.15
protein100	protein259	4	0.708983808367809	0.493
protein101	protein259	4	0.999999999994417	0
protein102	protein259	4	0.999999999994496	0
protein103	protein259	4	0.158625597565192	0.769
protein105	protein259	4	-0.351237196916897	0.963
protein106	protein259	4	0.265303154687199	0.731
protein107	protein259	4	0.726936303964194	0.486
protein108	protein259	4	0.305126128399273	0.718
protein109	protein259	4	0.0640287552390356	0.839
protein10	protein259	4	0.999963399206184	0.004
protein110	protein259	4	0.99999999976825	0.004
protein111	protein259	4	0.999999999999336	0
protein112	protein259	4	0.999999999999212	0
protein113	protein259	4	-0.233018405866369	0.937
protein114	protein259	4	-0.225754071490138	0.933
protein115	protein259	4	0.999999999911738	0.004
protein116	protein259	4	0.999999999883508	0.004
protein117	protein259	4	0.999999999982612	0.003
protein118	protein259	4	0.547945447710323	0.568
protein119	protein259	4	0.0373819910232883	0.847
protein11	protein259	4	0.99999999999393	0
protein120	protein259	4	0.999999999976191	0.003
protein121	protein259	4	0.999999999994276	0
protein122	protein259	4	0.999999999989746	0.003
protein123	protein259	4	0.214804953627693	0.751
protein124	protein259	4	0.999999999971649	0.003
protein125	protein259	4	0.999999999944225	0.004
protein126	protein259	4	-0.399229454191483	0.97
protein127	protein259	4	0.999999999954131	0.004
protein128	protein259	4	0.0703214541569295	0.839
protein129	protein259	4	0.0539195258888484	0.842
protein12	protein259	4	0.999999999993461	0
protein130	protein259	4	0.0447955090109775	0.844
protein131	protein259	4	0.999999999999984	0
protein132	protein259	4	0.999999999974908	0.003
protein133	protein259	4	0.999999999958983	0.004
protein134	protein259	4	0.999999999958983	0.004
protein135	protein259	4	0.999999999999888	0
protein136	protein259	4	0.999999999962831	0.004
