p1	p2	n	r	p.value
protein135	protein140	17	0.254857642667013	0.743
protein136	protein140	17	0.222412880247122	0.797
protein138	protein140	17	0.604150378764449	0.046
protein139	protein140	18	0.967492306177075	0
protein13	protein140	17	0.548185537751881	0.117
protein100	protein141	17	-0.0913916945332882	1
protein101	protein141	17	0.654320866862963	0.018
protein102	protein141	17	0.657737863004573	0.017
protein103	protein141	17	0.484140696990444	0.237
protein105	protein141	17	0.674810895189948	0.012
protein106	protein141	18	0.824926665280141	0
protein108	protein141	17	0.799474457653152	0
protein109	protein141	17	-0.0421316451285659	0.996
protein10	protein141	17	0.591473268950907	0.052
protein110	protein141	18	0.470527502383709	0.27
protein111	protein141	18	0.646196535953923	0.022
protein112	protein141	18	0.60627270969009	0.046
protein113	protein141	17	0.237598233210312	0.777
protein115	protein141	18	0.269234208260247	0.701
protein116	protein141	17	0.583153478925878	0.067
protein11	protein141	17	0.322863146822066	0.594
protein121	protein141	17	0.179198474444918	0.885
protein123	protein141	17	0.331930310619513	0.577
protein124	protein141	18	0.352256252116027	0.527
protein125	protein141	18	0.318462864835288	0.6
protein127	protein141	17	0.631242551717032	0.028
protein12	protein141	17	0.387599777659059	0.457
protein131	protein141	17	0.289510463904706	0.656
protein132	protein141	17	0.612263628777044	0.043
protein135	protein141	17	0.213546133077049	0.813
protein136	protein141	17	0.220157580066007	0.804
protein138	protein141	17	0.567069722504904	0.086
protein139	protein141	18	0.988094771290305	0
protein13	protein141	17	0.54982110892055	0.115
protein140	protein141	18	0.969652996829238	0
protein100	protein145	17	0.174483795972155	0.889
protein101	protein145	17	0.466537714235962	0.282
protein102	protein145	17	0.480730002317977	0.246
protein103	protein145	17	0.30302502566382	0.631
protein106	protein145	17	0.251563953119939	0.749
protein10	protein145	17	0.479809591858392	0.247
protein110	protein145	17	0.445326006404533	0.335
protein111	protein145	17	0.110127731733372	0.945
protein112	protein145	17	-0.0228774789475447	0.994
protein113	protein145	17	0.224710255062571	0.793
protein115	protein145	17	0.447508951456476	0.331
protein116	protein145	17	0.519951017282866	0.17
protein11	protein145	17	0.51874447376996	0.172
protein121	protein145	17	-0.0716131244407665	0.999
protein123	protein145	17	0.607442949827413	0.045
protein124	protein145	17	0.61368175394431	0.04
protein125	protein145	17	0.421625769490995	0.38
protein127	protein145	17	0.53226660223034	0.144
protein12	protein145	17	0.619454979004615	0.035
protein131	protein145	17	0.330764233750872	0.578
protein132	protein145	17	0.517001677552109	0.173
protein135	protein145	17	0.065082845025718	0.969
protein136	protein145	17	0.34431535320456	0.551
protein138	protein145	17	0.480574999444364	0.246
protein139	protein145	17	0.367731031380661	0.496
protein13	protein145	17	0.419581296976926	0.382
protein140	protein145	17	0.337693966110121	0.563
protein141	protein145	17	0.345171670081101	0.551
protein100	protein14	17	-0.0716538888495989	0.999
protein101	protein14	17	0.27738087537375	0.685
protein102	protein14	17	0.261701897882046	0.719
protein103	protein14	17	0.189019853825174	0.867
protein106	protein14	17	0.0643035133696523	0.969
protein10	protein14	17	0.29362787486065	0.649
protein110	protein14	17	0.208341858523778	0.826
protein111	protein14	17	0.0833633791749198	0.96
protein112	protein14	17	0.0219713323388426	0.989
protein113	protein14	17	-0.00860597477964551	0.991
protein115	protein14	17	0.23275179787508	0.784
protein116	protein14	17	0.261856435504267	0.719
protein11	protein14	17	0.377198141837071	0.482
protein121	protein14	17	0.032955094800232	0.983
protein123	protein14	17	0.0898571187133627	0.956
protein124	protein14	17	0.236897656788072	0.778
protein125	protein14	17	0.261672611281414	0.719
protein127	protein14	17	0.275286125599378	0.69
protein12	protein14	17	0.288230105483323	0.659
protein131	protein14	17	0.0330309418164057	0.983
protein132	protein14	17	0.264568910933157	0.713
protein135	protein14	17	0.276683836096944	0.687
protein136	protein14	17	-0.135554927982536	1
protein138	protein14	17	0.285427012095736	0.666
protein139	protein14	17	0.0861050668532223	0.959
protein13	protein14	17	0.197389449745227	0.842
protein140	protein14	17	0.116651136539505	0.936
protein141	protein14	17	0.0873690742227847	0.959
protein145	protein14	17	0.264355641350181	0.713
protein100	protein157	17	0.0950782043899252	0.952
protein101	protein157	17	-0.0324537152770932	0.995
protein102	protein157	17	-0.00328279940859762	0.991
protein103	protein157	17	-0.0861960201247818	1
protein105	protein157	17	0.131847742694697	0.923
protein106	protein157	18	0.0941535253919001	0.952
protein108	protein157	17	0.182306974708188	0.878
protein109	protein157	17	0.47199101427492	0.265
protein10	protein157	17	0.0756097011337916	0.962
protein110	protein157	18	0.788579026734359	0
protein111	protein157	18	0.673474055171513	0.012
protein112	protein157	18	0.657028241209612	0.017
protein113	protein157	17	-0.164476550757472	1
protein115	protein157	18	0.960557091299472	0
protein116	protein157	17	-0.00756981821663577	0.991
protein11	protein157	17	0.238904687923976	0.773
protein121	protein157	17	0.194518426849134	0.853
protein123	protein157	17	0.146714848784868	0.91
protein124	protein157	18	0.925821156887279	0
protein125	protein157	18	0.924024600663635	0
protein127	protein157	17	0.0695024889874729	0.967
protein12	protein157	17	0.285528649571866	0.666
protein131	protein157	17	0.838578426976686	0
protein132	protein157	17	0.00628514642451318	0.99
protein135	protein157	17	0.166221980177355	0.895
protein136	protein157	17	0.792895746691034	0
protein138	protein157	17	0.112192686672257	0.943
protein139	protein157	18	0.0918893948046388	0.954
protein13	protein157	17	0.0349451971507201	0.981
protein140	protein157	18	0.166586291924187	0.895
protein141	protein157	18	0.13730429221441	0.919
protein145	protein157	17	0.185719019591102	0.87
protein14	protein157	17	-0.128107483023023	1
protein100	protein159	17	0.0685419348912636	0.967
protein101	protein159	17	0.276404193905857	0.688
protein102	protein159	17	0.269294104594564	0.701
protein103	protein159	17	0.261146461664925	0.722
protein105	protein159	17	0.119863286698195	0.935
protein106	protein159	18	0.196717511870225	0.843
protein108	protein159	17	0.230602845931471	0.784
protein109	protein159	17	-0.0525487600088796	0.996
protein10	protein159	17	0.266722951132221	0.707
protein110	protein159	18	0.177604210390267	0.886
protein111	protein159	18	0.318485863096483	0.6
protein112	protein159	18	0.329413402354005	0.582
protein113	protein159	17	-0.0124428456089123	0.993
protein115	protein159	18	0.0969705375758221	0.952
protein116	protein159	17	0.131433694588263	0.924
protein11	protein159	17	0.254618610088497	0.743
protein121	protein159	17	0.37571919224069	0.482
protein123	protein159	17	0.0379966589791444	0.981
protein124	protein159	18	0.106121573691712	0.948
protein125	protein159	18	0.0925509615564816	0.954
protein127	protein159	17	0.194058548904932	0.854
protein12	protein159	17	0.15893102417237	0.899
protein131	protein159	17	0.141458441598952	0.915
protein132	protein159	17	0.177405567751903	0.886
protein135	protein159	17	0.362587206471673	0.507
protein136	protein159	17	-0.0629506431137235	0.999
protein138	protein159	17	0.22926928005367	0.787
protein139	protein159	18	0.299529031774185	0.638
protein13	protein159	17	0.153842858193728	0.904
protein140	protein159	18	0.429649321160565	0.364
protein141	protein159	18	0.328955188216434	0.585
protein145	protein159	17	-0.0573000415112804	0.996
protein14	protein159	17	0.161830811932741	0.897
protein157	protein159	18	0.0595240320744548	0.97
protein100	protein15	17	0.0609392306200889	0.97
protein101	protein15	17	0.478049052183534	0.256
protein102	protein15	17	0.464727284658983	0.286
protein103	protein15	17	0.354834306515479	0.524
protein106	protein15	17	0.23538857961074	0.78
protein10	protein15	17	0.496929547507935	0.206
protein110	protein15	17	0.3902366214778	0.448
protein111	protein15	17	0.176705599908825	0.888
protein112	protein15	17	0.0813750397250607	0.96
protein113	protein15	17	0.145871416212917	0.91
protein115	protein15	17	0.414248261439893	0.393
protein116	protein15	17	0.458048733699659	0.307
protein11	protein15	17	0.691693443055268	0.007
protein121	protein15	17	0.0366220695539767	0.981
protein123	protein15	17	0.368678166244942	0.495
protein124	protein15	17	0.48718789031963	0.232
protein125	protein15	17	0.417433443393845	0.386
protein127	protein15	17	0.486097999319533	0.233
protein12	protein15	17	0.622703979444157	0.035
protein131	protein15	17	0.183571285579593	0.876
protein132	protein15	17	0.469881361646812	0.271
protein135	protein15	17	0.215742698674846	0.811
protein136	protein15	17	0.0251519488793856	0.988
protein138	protein15	17	0.514470657741725	0.18
protein139	protein15	17	0.313076871551052	0.611
protein13	protein15	17	0.370670171481522	0.493
protein140	protein15	17	0.34175855881825	0.555
protein141	protein15	17	0.31319251756045	0.611
protein145	protein15	17	0.589596917141915	0.055
protein14	protein15	17	0.663026136658006	0.014
protein157	protein15	17	-0.0174431734042516	0.993
protein159	protein15	17	0.187647503766658	0.868
protein100	protein160	17	0.216768732303291	0.809
protein101	protein160	17	0.12194553223317	0.935
protein102	protein160	17	0.154046227106367	0.904
protein103	protein160	17	-0.124179946795659	1
protein105	protein160	17	0.547091992844884	0.118
protein106	protein160	18	0.467285607844006	0.28
protein108	protein160	17	0.60996768428732	0.043
protein109	protein160	17	0.221626016634012	0.799
protein10	protein160	17	0.0945067442471815	0.952
protein110	protein160	18	0.25216492930773	0.748
protein111	protein160	18	0.322031716321642	0.597
protein112	protein160	18	0.36491289685956	0.503
protein113	protein160	17	-0.0908587180310001	1
protein115	protein160	18	0.278716048307715	0.681
protein116	protein160	17	0.0954209030472007	0.952
protein11	protein160	17	0.342026790484914	0.554
protein121	protein160	17	-0.0314209508440211	0.995
protein123	protein160	17	0.305627856054409	0.628
protein124	protein160	18	0.342783241600075	0.553
protein125	protein160	18	0.260978615622502	0.722
protein127	protein160	17	0.158090108978152	0.901
protein12	protein160	17	0.539629023718997	0.128
protein131	protein160	17	0.0592806162724487	0.97
protein132	protein160	17	0.132601397797799	0.922
protein135	protein160	17	0.123182766679864	0.933
protein136	protein160	17	0.122712739695276	0.934
protein138	protein160	17	0.140261901164944	0.917
protein139	protein160	18	0.468525056043755	0.275
protein13	protein160	17	-0.111841718750348	1
protein140	protein160	18	0.502051890879575	0.2
protein141	protein160	18	0.513882709510076	0.181
protein145	protein160	17	0.387364178958715	0.458
protein14	protein160	17	0.0372809104755665	0.981
protein157	protein160	18	0.294897351937202	0.646
protein159	protein160	18	0.0770399600168637	0.961
protein15	protein160	17	0.289021280561359	0.657
protein100	protein162	17	-0.0727178036928818	0.999
protein101	protein162	17	0.939506423501985	0
protein102	protein162	17	0.926056518125394	0
protein103	protein162	17	0.815878733579078	0
protein105	protein162	17	0.0927383158641541	0.954
protein106	protein162	18	0.529429603402542	0.146
protein108	protein162	17	0.162984979196823	0.897
protein109	protein162	17	0.198993454039336	0.84
protein10	protein162	17	0.887275595437817	0
protein110	protein162	18	0.52831729220476	0.151
protein111	protein162	18	0.414134176701213	0.393
protein112	protein162	18	0.246727944195718	0.756
protein113	protein162	17	0.489630976513163	0.226
protein115	protein162	18	0.202716245342461	0.832
protein116	protein162	17	0.919484267656713	0
protein11	protein162	17	0.480637184360849	0.246
protein121	protein162	17	0.0935261960016938	0.953
protein123	protein162	17	0.51442537598314	0.18
protein124	protein162	18	0.260420795758926	0.722
protein125	protein162	18	0.249376308239269	0.753
protein127	protein162	17	0.914610738463734	0
protein12	protein162	17	0.458297460072415	0.304
protein131	protein162	17	0.211849473920118	0.821
protein132	protein162	17	0.929608603612704	0
protein135	protein162	17	0.297390737583673	0.642
protein136	protein162	17	0.143902948145812	0.911
protein138	protein162	17	0.835339339936677	0
protein139	protein162	18	0.634435339579118	0.026
protein13	protein162	17	0.897207385660291	0
protein140	protein162	18	0.590959784568184	0.052
protein141	protein162	18	0.590631390920791	0.053
protein145	protein162	17	0.500307586353954	0.201
protein14	protein162	17	0.385471426336125	0.463
protein157	protein162	18	-0.024522242779928	0.994
protein159	protein162	18	0.197812769245356	0.842
protein15	protein162	17	0.520260553025506	0.168
protein160	protein162	18	0.0469008572767798	0.978
protein100	protein163	17	0.150379991000213	0.907
protein101	protein163	17	0.767792919446596	0.001
protein102	protein163	17	0.773255254097402	0.001
protein103	protein163	17	0.666128364568501	0.014
protein106	protein163	17	0.492181138569913	0.221
protein10	protein163	17	0.828070242055068	0
protein110	protein163	17	0.791972819569051	0
protein111	protein163	17	0.468771469062732	0.274
protein112	protein163	17	0.265776602376432	0.711
protein113	protein163	17	0.474463792964456	0.259
protein115	protein163	17	0.796821289305624	0
protein116	protein163	17	0.806626742078752	0
protein11	protein163	17	0.507593192854199	0.19
protein121	protein163	17	0.0414195298848049	0.978
protein123	protein163	17	0.505699346817864	0.194
protein124	protein163	17	0.633337458474598	0.027
protein125	protein163	17	0.68630886391791	0.007
protein127	protein163	17	0.83640248003516	0
protein12	protein163	17	0.578729423320459	0.074
protein131	protein163	17	0.211731675748791	0.821
protein132	protein163	17	0.822586785734481	0
protein135	protein163	17	0.233543462897949	0.782
protein136	protein163	17	0.154039577194024	0.904
protein138	protein163	17	0.806736583363912	0
protein139	protein163	17	0.581110907540989	0.069
protein13	protein163	17	0.727828039198753	0.004
protein140	protein163	17	0.57360478911194	0.081
protein141	protein163	17	0.544684257728369	0.12
protein145	protein163	17	0.47120520441833	0.268
protein14	protein163	17	0.209995444773028	0.822
protein157	protein163	17	0.0310108987058613	0.984
protein159	protein163	17	0.258683586362751	0.726
protein15	protein163	17	0.442242946981583	0.339
protein160	protein163	17	0.189905005029397	0.864
protein162	protein163	17	0.758210109689926	0.001
protein100	protein164	17	-0.0417307385623436	0.996
protein101	protein164	17	0.920716407441355	0
protein102	protein164	17	0.904840681433996	0
protein103	protein164	17	0.831217411047371	0
protein105	protein164	17	0.0800944969123315	0.96
protein106	protein164	18	0.534217500465525	0.142
protein108	protein164	17	0.192418358784101	0.857
protein109	protein164	17	0.118952200398387	0.935
protein10	protein164	17	0.900782268824923	0
protein110	protein164	18	0.540030716142065	0.128
protein111	protein164	18	0.419038382097199	0.382
protein112	protein164	18	0.248944379344479	0.754
protein113	protein164	17	0.561424349004787	0.092
protein115	protein164	18	0.221165160371187	0.803
protein116	protein164	17	0.930108029970262	0
protein11	protein164	17	0.48469079100994	0.235
protein121	protein164	17	0.0615023706225878	0.97
protein123	protein164	17	0.514896900514674	0.178
protein124	protein164	18	0.255984415860306	0.738
protein125	protein164	18	0.261782958519481	0.719
protein127	protein164	17	0.916354079328219	0
protein12	protein164	17	0.451101714926767	0.325
protein131	protein164	17	0.181144739172632	0.881
protein132	protein164	17	0.939235140509293	0
protein135	protein164	17	0.225389919774041	0.793
protein136	protein164	17	0.119350865628219	0.935
protein138	protein164	17	0.826435494938739	0
protein139	protein164	18	0.612546679668511	0.043
protein13	protein164	17	0.922089938886787	0
protein140	protein164	18	0.561933477653002	0.092
protein141	protein164	18	0.565196318330146	0.088
protein145	protein164	17	0.468004293332896	0.275
protein14	protein164	17	0.253318482563049	0.748
protein157	protein164	18	-0.0145972699487996	0.993
protein159	protein164	18	0.185823915690354	0.87
protein15	protein164	17	0.472124437373574	0.265
protein160	protein164	18	0.00794406339869317	0.99
protein162	protein164	18	0.953605899741431	0
protein163	protein164	17	0.794463873110901	0
protein100	protein165	17	-0.0675249865814096	0.999
protein101	protein165	17	0.912142253407449	0
protein102	protein165	17	0.896371985690421	0
protein103	protein165	17	0.816176344562503	0
protein105	protein165	17	0.136858770184317	0.919
protein106	protein165	18	0.521621006163014	0.166
protein108	protein165	17	0.185511911090366	0.87
protein109	protein165	17	0.125594125648498	0.93
protein10	protein165	17	0.892052662634407	0
protein110	protein165	18	0.510323094867635	0.188
protein111	protein165	18	0.398601724902746	0.429
protein112	protein165	18	0.235017243029888	0.78
protein113	protein165	17	0.524702258777028	0.158
protein115	protein165	18	0.178602581925948	0.885
protein116	protein165	17	0.922128723293957	0
protein11	protein165	17	0.43834830034471	0.346
protein121	protein165	17	0.0977086000703663	0.951
protein123	protein165	17	0.49442711747199	0.214
protein124	protein165	18	0.212765168195067	0.818
protein125	protein165	18	0.221110928117467	0.803
protein127	protein165	17	0.909163885913739	0
protein12	protein165	17	0.415158431532578	0.39
protein131	protein165	17	0.192306805156762	0.857
protein132	protein165	17	0.916053009965448	0
protein135	protein165	17	0.28779952109082	0.661
protein136	protein165	17	0.117494650494644	0.935
protein138	protein165	17	0.8230194008199	0
protein139	protein165	18	0.602534506110015	0.047
protein13	protein165	17	0.890342119834675	0
protein140	protein165	18	0.567480194378229	0.085
protein141	protein165	18	0.555810243718311	0.099
protein145	protein165	17	0.42926826941349	0.365
protein14	protein165	17	0.269238097680017	0.701
protein157	protein165	18	-0.0541550296870328	0.996
protein159	protein165	18	0.211309044088664	0.821
protein15	protein165	17	0.459952213569226	0.299
protein160	protein165	18	-0.0275872948219685	0.994
protein162	protein165	18	0.946008913580151	0
protein163	protein165	17	0.807372907917878	0
protein164	protein165	18	0.972490955977923	0
protein100	protein166	17	-0.0925552793372376	1
protein101	protein166	17	0.930517529436958	0
protein102	protein166	17	0.916533919788862	0
protein103	protein166	17	0.810181549075357	0
protein105	protein166	17	0.0932492523066311	0.953
protein106	protein166	18	0.527681236386684	0.152
protein108	protein166	17	0.185780002611149	0.87
protein109	protein166	17	0.0561829530555061	0.973
protein10	protein166	17	0.906803377465477	0
protein110	protein166	18	0.522730572770226	0.163
protein111	protein166	18	0.412167577904414	0.396
protein112	protein166	18	0.246287035957694	0.756
protein113	protein166	17	0.504506035862886	0.197
protein115	protein166	18	0.195858097141582	0.848
protein116	protein166	17	0.9096102406056	0
protein11	protein166	17	0.513914726809645	0.181
protein121	protein166	17	0.10825947776958	0.947
protein123	protein166	17	0.540597838357661	0.128
protein124	protein166	18	0.244498713326146	0.764
protein125	protein166	18	0.237332281540571	0.778
protein127	protein166	17	0.914501386901424	0
protein12	protein166	17	0.478963998958688	0.251
protein131	protein166	17	0.212303206692602	0.821
protein132	protein166	17	0.934684053387683	0
protein135	protein166	17	0.278407763017507	0.681
protein136	protein166	17	0.125898391320739	0.93
protein138	protein166	17	0.832561593496545	0
protein139	protein166	18	0.622659004321796	0.035
protein13	protein166	17	0.903004887473305	0
protein140	protein166	18	0.586199007372342	0.058
protein141	protein166	18	0.576922946608915	0.076
protein145	protein166	17	0.456834372760463	0.312
protein14	protein166	17	0.274345467607439	0.695
protein157	protein166	18	-0.0375725751022291	0.996
protein159	protein166	18	0.225554045431622	0.793
protein15	protein166	17	0.492989357655259	0.219
protein160	protein166	18	0.00693819979800149	0.99
protein162	protein166	18	0.954664269329511	0
protein163	protein166	17	0.772196548933856	0.001
protein164	protein166	18	0.978195901941917	0
protein165	protein166	18	0.969585727232842	0
protein100	protein167	17	0.169906508735606	0.891
protein101	protein167	17	0.118373454460367	0.935
protein102	protein167	17	0.138406936749378	0.919
protein103	protein167	17	-0.0107853987784316	0.993
protein106	protein167	17	0.0837041785071069	0.96
protein10	protein167	17	0.32826415797888	0.586
protein110	protein167	17	0.0749167341611857	0.963
protein111	protein167	17	-0.0112858350341818	0.993
protein112	protein167	17	0.00701010284982038	0.99
protein113	protein167	17	0.0211646543577755	0.989
protein115	protein167	17	0.121965623761866	0.935
protein116	protein167	17	0.117048774287644	0.936
protein11	protein167	17	0.577591317757704	0.076
protein121	protein167	17	0.212760376086662	0.818
protein123	protein167	17	0.177340902820718	0.886
protein124	protein167	17	0.225845234513981	0.793
protein125	protein167	17	0.0744088538506425	0.963
protein127	protein167	17	0.25417519500303	0.744
protein12	protein167	17	0.635085093399598	0.026
protein131	protein167	17	0.238928108669704	0.773
protein132	protein167	17	0.171024683707354	0.891
protein135	protein167	17	0.38438155619478	0.465
protein136	protein167	17	0.0492849491955806	0.978
protein138	protein167	17	0.24187097759907	0.766
protein139	protein167	17	0.0669421635584118	0.967
protein13	protein167	17	-0.052693167165047	0.996
protein140	protein167	17	0.169837835132424	0.891
protein141	protein167	17	0.0833231403879461	0.96
protein145	protein167	17	0.226211510662333	0.793
protein14	protein167	17	0.220527483338477	0.804
protein157	protein167	17	0.179275757953325	0.885
protein159	protein167	17	0.249256118242387	0.753
protein15	protein167	17	0.411856521596706	0.396
protein160	protein167	17	0.313991926761328	0.611
protein162	protein167	17	0.0674590463097291	0.967
protein163	protein167	17	0.27505712429857	0.692
protein164	protein167	17	0.0959285651284434	0.952
protein165	protein167	17	0.119890623598457	0.935
protein166	protein167	17	0.149496081168712	0.907
protein106	protein168	17	0.237901126023118	0.775
protein110	protein168	17	0.201061718409824	0.837
protein111	protein168	17	0.0135086491704453	0.99
protein112	protein168	17	-0.0777929265723328	0.999
protein115	protein168	17	0.0512170221146264	0.976
protein124	protein168	17	0.129075398553598	0.927
protein125	protein168	17	0.0570208461309211	0.972
protein139	protein168	17	0.30852386691838	0.624
protein140	protein168	17	0.278824455445095	0.68
protein141	protein168	17	0.272863905819765	0.696
protein157	protein168	17	-0.0599854995639081	0.997
protein159	protein168	17	0.0230741735516523	0.989
protein160	protein168	17	0.401860694364452	0.419
protein162	protein168	17	0.468058405310354	0.275
protein164	protein168	17	0.42260820775308	0.377
protein165	protein168	17	0.389269537019321	0.45
protein166	protein168	17	0.441064958119643	0.342
protein100	protein16	17	-0.197428581523724	1
protein101	protein16	17	0.828514120359454	0
protein102	protein16	17	0.807513764047954	0
protein103	protein16	17	0.83018598305875	0
protein106	protein16	17	0.504523283108507	0.197
protein10	protein16	17	0.831479355764981	0
protein110	protein16	17	0.879736869321435	0
protein111	protein16	17	0.561659264712669	0.092
protein112	protein16	17	0.302590791415176	0.631
protein113	protein16	17	0.552128835621697	0.11
protein115	protein16	17	0.923993740280808	0
protein116	protein16	17	0.862177415864345	0
protein11	protein16	17	0.323939706920889	0.593
protein121	protein16	17	-0.0732883491301834	0.999
protein123	protein16	17	0.386503740708231	0.461
protein124	protein16	17	0.610644868700228	0.043
protein125	protein16	17	0.779732461819304	0
protein127	protein16	17	0.843482426484882	0
protein12	protein16	17	0.264305894205056	0.713
protein131	protein16	17	0.179678349782664	0.885
protein132	protein16	17	0.883780909742181	0
protein135	protein16	17	0.0285340087243898	0.985
protein136	protein16	17	0.117451787109741	0.935
protein138	protein16	17	0.780531654776988	0
protein139	protein16	17	0.593951045209973	0.051
protein13	protein16	17	0.949698028518707	0
protein140	protein16	17	0.52892521895888	0.147
protein141	protein16	17	0.530295443194819	0.146
protein145	protein16	17	0.353679353041389	0.526
protein14	protein16	17	0.289172043801607	0.656
protein157	protein16	17	-0.0587977748494055	0.997
protein159	protein16	17	0.156503129832036	0.903
protein15	protein16	17	0.38830791935502	0.455
protein160	protein16	17	-0.130945936443558	1
protein162	protein16	17	0.887981337579931	0
protein163	protein16	17	0.727647296205705	0.004
protein164	protein16	17	0.898700968008263	0
protein165	protein16	17	0.890658710380711	0
protein166	protein16	17	0.880636222388885	0
protein167	protein16	17	-0.108429565641728	1
protein100	protein170	17	-0.0452920866758301	0.996
protein101	protein170	17	0.914183808921212	0
protein102	protein170	17	0.916582707072536	0
protein103	protein170	17	0.811653750345878	0
protein105	protein170	17	0.391709546326413	0.443
protein106	protein170	18	0.618889300178375	0.036
protein108	protein170	17	0.374600577335622	0.483
protein109	protein170	17	0.374848603100846	0.482
protein10	protein170	17	0.846772389083003	0
protein110	protein170	18	0.591614252818611	0.052
protein111	protein170	18	0.563218659459284	0.091
protein112	protein170	18	0.418741603984807	0.383
protein113	protein170	17	0.482276593616886	0.244
protein115	protein170	18	0.295428078950042	0.646
protein116	protein170	17	0.903912278990739	0
protein11	protein170	17	0.352582623111373	0.527
protein121	protein170	17	0.191290953427474	0.859
protein123	protein170	17	0.524746504774252	0.158
protein124	protein170	18	0.332355210805833	0.577
protein125	protein170	18	0.327695235872683	0.586
protein127	protein170	17	0.881467554532003	0
protein12	protein170	17	0.408297184714427	0.408
protein131	protein170	17	0.129414189431203	0.927
protein132	protein170	17	0.885720686976562	0
protein135	protein170	17	0.320928801547175	0.598
protein136	protein170	17	0.118708623480082	0.935
protein138	protein170	17	0.809051733735406	0
protein139	protein170	18	0.67285035299058	0.012
protein13	protein170	17	0.826181211619231	0
protein140	protein170	18	0.638293850210611	0.025
protein141	protein170	18	0.650384140809317	0.019
protein145	protein170	17	0.423341180515359	0.374
protein14	protein170	17	0.180930287902993	0.882
protein157	protein170	18	0.0739099041203349	0.963
protein159	protein170	18	0.190057859480706	0.864
protein15	protein170	17	0.328403325786766	0.586
protein160	protein170	18	0.109706341399442	0.945
protein162	protein170	18	0.883391181361912	0
protein163	protein170	17	0.753204301601799	0.001
protein164	protein170	18	0.888638804976448	0
protein165	protein170	18	0.892889817659712	0
protein166	protein170	18	0.881179915257979	0
protein167	protein170	17	0.0529291637172622	0.976
protein168	protein170	17	0.336762381484712	0.566
protein16	protein170	17	0.819407570357144	0
protein105	protein171	17	0.839571087142958	0
protein106	protein171	17	0.853666570092408	0
protein108	protein171	17	0.856797891356784	0
protein109	protein171	17	0.111327660377425	0.943
protein110	protein171	17	0.21825629051086	0.806
protein111	protein171	17	0.586812921329865	0.058
protein112	protein171	17	0.639814654527774	0.025
protein115	protein171	17	0.190779374347922	0.862
protein124	protein171	17	0.182225371162903	0.878
protein125	protein171	17	0.179105906862594	0.885
protein139	protein171	17	0.736530476348557	0.004
protein140	protein171	17	0.692702184224255	0.006
protein141	protein171	17	0.76574805383223	0.001
protein157	protein171	17	0.173086630378611	0.891
protein159	protein171	17	0.203721306630098	0.83
protein160	protein171	17	0.587214525583578	0.057
protein162	protein171	17	0.181501572521063	0.88
protein164	protein171	17	0.15504100566829	0.903
protein165	protein171	17	0.182499811778457	0.878
protein166	protein171	17	0.135683120322759	0.92
protein170	protein171	17	0.551868107542796	0.111
protein105	protein173	17	0.764017865284413	0.001
protein106	protein173	17	0.933566002671087	0
protein108	protein173	17	0.924036960619233	0
protein109	protein173	17	0.0437382567109861	0.978
protein110	protein173	17	0.257076193254009	0.734
protein111	protein173	17	0.559060061955074	0.096
protein112	protein173	17	0.603696307970192	0.046
protein115	protein173	17	0.212473171598994	0.819
protein124	protein173	17	0.264748181883901	0.712
protein125	protein173	17	0.211561851181458	0.821
protein139	protein173	17	0.836450342194645	0
protein140	protein173	17	0.793661594551164	0
protein141	protein173	17	0.83952114598728	0
protein157	protein173	17	0.199579510464862	0.839
protein159	protein173	17	0.192012406384428	0.858
protein160	protein173	17	0.686057358424234	0.007
protein162	protein173	17	0.296559490673666	0.645
protein164	protein173	17	0.290826812365407	0.655
protein165	protein173	17	0.282506428222081	0.672
protein166	protein173	17	0.286137789948639	0.665
protein170	protein173	17	0.391708737584433	0.443
protein171	protein173	17	0.818222596232498	0
protein100	protein174	17	-0.168717212257718	1
protein101	protein174	17	0.409323711683894	0.403
protein102	protein174	17	0.403016855837451	0.417
protein103	protein174	17	0.325461695025181	0.59
protein105	protein174	17	-0.05783219028432	0.996
protein106	protein174	18	0.169236139453483	0.891
protein108	protein174	17	0.00154517694750224	0.991
protein109	protein174	17	0.111370744965596	0.943
protein10	protein174	17	0.428662013897227	0.367
protein110	protein174	18	0.649711915945364	0.019
protein111	protein174	18	0.460584756230176	0.296
protein112	protein174	18	0.363784758736241	0.505
protein113	protein174	17	0.145354126586014	0.911
protein115	protein174	18	0.623577914701937	0.034
protein116	protein174	17	0.427804342824994	0.367
protein11	protein174	17	0.376560088260859	0.482
protein121	protein174	17	0.00418230603900288	0.99
protein123	protein174	17	0.345840056807724	0.549
protein124	protein174	18	0.71778760485289	0.005
protein125	protein174	18	0.678084030147278	0.008
protein127	protein174	17	0.437784767915727	0.346
protein12	protein174	17	0.332094949134207	0.577
protein131	protein174	17	0.670751547465421	0.012
protein132	protein174	17	0.445591118051191	0.335
protein135	protein174	17	-0.0698083691983565	0.999
protein136	protein174	17	0.598319926410109	0.049
protein138	protein174	17	0.384260105074466	0.465
protein139	protein174	18	0.421869480441205	0.379
protein13	protein174	17	0.555520825826565	0.1
protein140	protein174	18	0.393027488011516	0.441
protein141	protein174	18	0.411704433016229	0.398
protein145	protein174	17	0.489190452666956	0.226
protein14	protein174	17	0.173232266264514	0.891
protein157	protein174	18	0.586706886212037	0.058
protein159	protein174	18	0.0423149499278706	0.978
protein15	protein174	17	0.373143904982329	0.486
